SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
N23104,HEADSET BLUETOOTH MOTOROLA H790 SILVER,ECOUTEUR BLUETOOTH MOTOROLA H790 ARGENT,ND,04 - Audio,Mono Bluetooth,Headset,Motorola,Universal,Universal,Silver,MOTOROLA,23104,7.23755E+11,CAD,$45.00,$45.00
N23139,MOTOROLA H730 BLUETOOTH HEADSET,ECOUTEUR BLUETOOTH MOTOROLA H730,ND,04 - Audio,Mono Bluetooth,Headset,Motorola,Universal,Universal,,MOTOROLA,N23139,7.23755E+11,CAD,$49.99,$49.99
N801209,WILSON WIRELESS BOOSTER,WILSON WIRELESS BOOSTER,ND,05 - Connected Home,Home,WiFi,Wilson,Universal,Universal,,WILSON ELECTRONICS INC,0,,USD,$389.99,$389.99
NADA1027,BELKIN WEMO SWITCH,BELKIN WEMO SWITCH,ND,05 - Connected Home,Home,Switch,Belkin,Universal,Universal,,SALMON CAPITAL CORPORATION,F7C027FC,7.22869E+11,CAD,$49.99,$49.99
NADA1028,SONIM USB TO 3 5MM ADAPTER XP5560,SONIM ADAPTATEUR USB VERS 3 5MM XP5560,ND,03 - Charging,Other,Specialty,Sonim,Sonim,Sonim,,SONIM TECHNOLOGIES INC,94922172808,94922172808,CAD,$14.99,$14.99
NADA1029,ISTORE™ WORLD TRAVEL ADAPTER - WHITE,ISTORE WORLD TRAVEL ADAPTER,ND,03 - Charging,Wall Adapter,USB-A,iStore,Universal,Universal,White,TARGUS CANADA LTD.,APK0102CAI,92636284695,CAD,$24.99,$14.99
NAISCOPE,IPHONE VISUAL CHECKER,IPHONE VISUAL CHECKER,ND,08 - TELUS Non-Accessories,Other,Other,Unsure or N/A,Apple,iPhone,,N/A,0,-,0,$0.00,$0.00
NANTZTEMF288BK,ZTE MF288 HUB REPLACEMENT ANTENNA,ZTE MF288 HUB REPLACEMENT ANTENNA,ZD,08 - TELUS Non-Accessories,Other,Antenna,ZTE,ZTE,Hub,,ZTE,80500100202,6.29E+11,CAD,,
NAT3058,DESKTOP BASE CONTROLLER OEM F/I365,ADVANCETEC COMMUNICATOR P/I365,ND,08 - TELUS Non-Accessories,Other,Other,Motorola,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT3058,6.29018E+11,USD,$499.99,$499.99
NAT3059A,ADVANCETEC I365 DESKTOP CONTROLLER LOCK,PAQUET DE CONTRÔLEUR BASÉ DE BUREAU I365,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT3059A,,USD,$479.99,$479.99
NAT7107,ADVANCE TEC CAR KIT PRIVACY HANDSET,ADVANCE TEC VOITURE TÉLÉPHONE D'INTIMITÉ,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT7107,6.29018E+11,USD,$119.99,$119.99
NAT8400,FOOT PEDAL F/I365 DESKTOP BASE CONTROLLE,ECOUTEUR P/ADVANCETEC COMMUNICATOR I365,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT8400,6.29018E+11,USD,$139.99,$139.99
NAT8401,HEADSET F/I365 DESKTOP BASE CONTROLLER,HEADSET F/I365 DESKTOP BASE CONTROLLER,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT8401,6.29018E+11,USD,$79.99,$79.99
NAT8405,Y CONNECTOR F/I365 DESKTOP BASE CONTROLL,Y-CONNECTOR ADVANCETEC COMMUNICATOR I365,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT8405,6.29018E+11,USD,$49.99,$49.99
NAT8410A,POTATO MICROPHONE F/ADVANCETEC CAR KITS,MIC-POT ADVANCETEC NECESSAIRE VOITURE,ND,08 - TELUS Non-Accessories,Other,Other,AdvanceTec,Universal,Universal,N/A,ADVANCETEC INDUSTRIES INC,AT8410A,6.29018E+11,USD,$59.99,$59.99
NAUD1001,WICKED METALLICS EARBUDS BLACK,WICKED METALLICS ÉCOUTEURS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Wicked Audio,Universal,Universal,Black,CURVE DISTRIBUTION SERVICES INC,WI1950,7.12949E+11,CAD,$19.99,$6.99
NAUD1002,WICKED METALLICS EARBUDS WHITE,WICKED METALLICS ÉCOUTEURS BLANC,ND,04 - Audio,Wired Headphone,In-Ear,Wicked Audio,Universal,Universal,White,CURVE DISTRIBUTION SERVICES INC,WI1954,7.12949E+11,CAD,$19.99,$6.99
NAUD1003,URBANEARS BAGIS GREY,URBANEARS BAGIS GRIS,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Grey,TIME BOMB TRADING INC,4090356,6.29018E+11,CAD,$23.99,$9.99
NAUD1004,URBANEARS BAGIS INDIGO,URBANEARS BAGIS INDIGO,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Indigo,TIME BOMB TRADING INC,4090510,6.29018E+11,CAD,$23.99,$9.99
NAUD1005,URBAN EARS BAGIS RED,URBAN EARS BAGIS RED,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Red,TIME BOMB TRADING INC,4090364,6.29018E+11,CAD,$23.99,$9.99
NAUD1006,URBANEARS BAGIS LILAC,URBANEARS BAGIS LILAC,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Lilac,TIME BOMB TRADING INC,4090752,6.29018E+11,CAD,$23.99,$9.99
NAUD1007,URBANEARS PLATTAN BLACK,URBANEARS PLATTAN NOIR,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Black,TIME BOMB TRADING INC,4090058,6.29018E+11,CAD,$41.99,$21.00
NAUD1008,URBANEARS PLATTAN INDIGO,URBANEARS PLATTAN INDIGO,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Plattan Indigo,TIME BOMB TRADING INC,4090501,6.29018E+11,CAD,$41.99,$33.59
NAUD1008CSD,URBANEARS PLATTEN INDIGO DEMO,URBANEARS PLATTEN INDIGO DEMO,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,,TIME BOMB TRADING INC,4090501,6.29018E+11,CAD,$0.00,$0.00
NAUD1008CSDIS,URBANEARS PLATTEN INDIGO DISPLAY,URBANEARS PLATTEN INDIGO DISPLAY,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,,TIME BOMB TRADING INC,4090501,,CAD,$0.00,$0.00
NAUD1009,KLIPSCH S3M EARBUDS BLACK,KLIPSCH S3M ECOUTEURS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Klipsch,Universal,Universal,Black,GENTEC INTERNATIONAL,IMAGES3MB,7.43878E+11,CAD,$59.99,$14.99
NAUD1010,KLIPSCH S3M EARBUDS WHITE,KLIPSCH S3M ECOUTEURS BLANC,ND,04 - Audio,Wired Headphone,In-Ear,Klipsch,Universal,Universal,White,GENTEC INTERNATIONAL,IMAGES3MW,7.43878E+11,CAD,$59.99,$14.99
NAUD1011,JABRA SPORT PLUS WIRELESS EARBUDS,JABRA SPORT PLUS ECOUTEURS SANS FIL,ND,04 - Audio,BT In-Ear Headphone,Entry Level,Jabra,Universal,Universal,,SALMON CAPITAL CORPORATION,100-96600003-20,6.15822E+11,CAD,$99.99,$25.00
NAUD1012,YURBUDS INSPIRE TALK EARBUDS BLACK,YURBUDS INSPIRE TALK ECOUTEURS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Yurbuds,Universal,Universal,Black,MICROCEL TECHNICAL SERVICES,10115,8.51886E+11,CAD,$39.99,$9.99
NAUD1013,LG TONE BLUETOOTH EARPHONES BLACK,LG TONE CASQUE À ÉCOUTEURS BT NOIR,ND,04 - Audio,BT In-Ear Headphone,Entry Level,LG,Universal,Universal,Black,CESIUM TELCOM INC,105-1338,6.29018E+11,CAD,$49.99,$27.49
NAUD1014,LG TONE BLUETOOTH EARPHONES WHITE,LG TONE CASQUE À ÉCOUTEURS BT BLANC,ND,04 - Audio,BT In-Ear Headphone,Entry Level,LG,Universal,Universal,White,CESIUM TELCOM INC,105-1351,6.29018E+11,CAD,$49.99,$27.49
NAUD1015,SOL REPUBLIC TRACKS HEADPHONES BLACK,SOL REPUBLIC TRACKS ÉCOUTEURS NOIR,ND,04 - Audio,Wired Headphone,On-Ear,Sol Republic,Universal,Universal,Black,ATLANTIA HOLDING INC,SR-1211-01,8.1721E+11,CAD,$109.99,$55.00
NAUD1016,SOL REPUBLIC TRACKS HEADPHONES RED,SOL REPUBLIC TRACKS ÉCOUTEURS RED,ND,04 - Audio,Wired Headphone,On-Ear,Sol Republic,Universal,Universal,Red,ATLANTIA HOLDING INC,SR-1211-03,8.1721E+11,CAD,$109.99,$55.00
NAUD1017,BEATS URBEATS BLACK,BEATS URBEATS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,White,APPLE CANADA,900-00066-01,8.48447E+11,CAD,$99.99,$99.99
NAUD1018,BEATS URBEATS SILVER,BEATS URBEATS ARGENT,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Black,APPLE CANADA,900-00212-01,8.48447E+11,CAD,$99.99,$99.99
NAUD1019,BEATS URBEATS BLUE,BEATS URBEATS BLEU,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Red,APPLE CANADA,900-00164-01,8.48447E+11,CAD,$99.99,$99.99
NAUD1020,BEATS URBEATS PINK,BEATS URBEATS ROSE,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,White,APPLE CANADA,900-00105-01,8.48447E+11,CAD,$99.99,$99.99
NAUD1021,BEATS SOLO HD 2 BLACK,BEATS SOLO HD 2 NOIR,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,900-00134-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1022,BEATS SOLO HD 2 WHITE,BEATS SOLO HD 2 BLANC,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Red,APPLE CANADA,900-00135-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1023,BEATS SOLO HD 2 BLUE,BEATS SOLO HD 2 BLEU,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,White,APPLE CANADA,900-00247-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1024,BEATS SOLO HD 2 RED,BEATS SOLO HD 2 ROUGE,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,900-00136-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1025,BEATS STUDIO 2 0 BLACK,BEATS STUDIO 2 0 NOIR,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Red,APPLE CANADA,900-00059-01,8.48447E+11,CAD,$329.99,$149.99
NAUD1026,BEATS STUDIO 2 0 WHITE,BEATS STUDIO 2 0 BLANC,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,White,APPLE CANADA,900-00063-01,8.48447E+11,CAD,$329.99,$149.99
NAUD1029,JBL FLIP 2 SPEAKER BLACK,JBL FLIP 2  HAUT PARLEUR NOIR,ND,04 - Audio,Bluetooth Speaker,Mid-tier,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,JBLFLIPIIBLKAM,50036318013,CAD,$129.99,$39.99
NAUD1029CSD,JBL FLIP 2 SPEAKER BLACK CS DEMO,JBL FLIP 2 HAUT PARLEUR NOIR CS DEMO,ND,04 - Audio,Bluetooth Speaker,Mid-tier,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,JBLFLIPIIBLKAM,50036318013,CAD,$0.00,$109.99
NAUD1030,BEATS PILL 2 0 BLACK,BEATS PILL 2 0 NOIR,ND,04 - Audio,Bluetooth Speaker,Premium,Beats,Universal,Universal,Black,APPLE CANADA,900-00089-01,8.48447E+11,CAD,$164.99,$164.99
NAUD1031,BEATS PILL 2 0 SILVER,BEATS PILL 2 0 ARGENT,ND,04 - Audio,Bluetooth Speaker,Premium,Beats,Universal,Universal,,APPLE CANADA,900-00160-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1032,JBL PULSE SPEAKER,JBL PULSE HAUT PARLEUR,ND,04 - Audio,Bluetooth Speaker,Premium,JBL,Universal,Universal,,JAM INDUSTRIES LTD,JBLPULSEBLKAM,50036319881,CAD,$249.99,$62.50
NAUD1033,ULTIMATE EARS UE BOOM BLACK,ULTIMATE EARS UE BOOM NOIR,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Ultimate Ears,Universal,Universal,Black,MICROCEL TECHNICAL SERVICES,980-000678,97855092724,CAD,$119.99,$60.00
NAUD1034,ULTIMATE EARS UE BOOM RED,ULTIMATE EARS UE BOOM ROUGE,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Ultimate Ears,Universal,Universal,Red,MICROCEL TECHNICAL SERVICES,980-000686,97855092809,CAD,$119.99,$60.00
NAUD1035,BRAVEN BRV 1 SPEAKER BLACK,BRAVEN BRV 1 HAUT PARLEUR NOIR,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Braven,Universal,Universal,Black,JAM INDUSTRIES LTD,BRV1BOG,8.17729E+11,CAD,$139.99,$83.99
NAUD1036,BRAVEN BRV 1 SPEAKER BLUE,BRAVEN BRV 1 HAUT PARLEUR BLEU,ND,04 - Audio,Bluetooth Speaker,Mid-tier,Braven,Universal,Universal,Blue,JAM INDUSTRIES LTD,BRV1GWC,8.17729E+11,CAD,$139.99,$83.99
NAUD1037,URBANEARS PLATTEN TOMATO,URBANEARS PLATTEN TOMATE,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Red,TIME BOMB TRADING INC,4090340,6.29018E+11,CAD,$47.24,$23.62
NAUD1038,URBANEARS PLATTEN COBALT,URBANEARS PLATTEN COBALT,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,Cobalt,TIME BOMB TRADING INC,4090772,6.29018E+11,CAD,$69.99,$69.99
NAUD1039,URBANEARS PLATTEN LILAC,URBANEARS PLATTEN LILAS,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,,TIME BOMB TRADING INC,4090749,6.29018E+11,CAD,$47.24,$23.62
NAUD1040,URBANEARS PLATTEN WHITE,URBANEARS PLATTEN BLANC,ND,04 - Audio,Wired Headphone,On-Ear,Urbanears,Universal,Universal,,TIME BOMB TRADING INC,4090051,6.29018E+11,CAD,$69.99,$48.99
NAUD1041,JBL CLIP SPEAKER BLACK,JBL CLIP HAUT PARLEUR NOIR,ND,04 - Audio,Bluetooth Speaker,Entry Level,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,JBLCLIPBLKAM,50036322454,CAD,$59.99,$29.99
NAUD1041CSD,JBL CLIP SPEAKER BLACK CS DEMO,JBL CLIP HAUT PARLEUR NOIR CS DEMO,ND,04 - Audio,Bluetooth Speaker,Entry Level,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,JBLCLIPBLKAM,50036322454,CAD, - ,$59.99
NAUD1042,JBL CLIP SPEAKER GREY,JBL CLIP HAUT PARLEUR GRIS,ND,04 - Audio,Bluetooth Speaker,Entry Level,JBL,Universal,Universal,Grey,JAM INDUSTRIES LTD,JBLCLIPGRYAM,50036323260,CAD,$59.99,$29.99
NAUD1043,BEATS POWERBEATS 2 WIRELESS BLACK,BEATS POWERBEATS 2 SANS FIL NOIR,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,900-00240-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1044,BEATS POWERBEATS 2 WIRELESS WHITE,BEATS POWERBEATS 2 SANS FIL BLANC,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Beats,Universal,Universal,,APPLE CANADA,900-00245-01,8.48447E+11,CAD,$219.99,$219.99
NAUD1045,BEATS STUDIO WIRELESS BLACK,BEATS STUDIO SANS FIL NOIR,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,900-00198-01,8.48447E+11,CAD,$399.99,$399.99
NAUD1046,BEATS STUDIO WIRELESS SILVER,BEATS STUDIO SANS FIL ARGENT,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Silver,APPLE CANADA,900-00199-01,8.48447E+11,CAD,$399.99,$399.99
NAUD1047,BEATS POWERBEATS 2 WIRELESS RED,BEATS POWERBEATS 2 SANS FIL ROUGE,ND,04 - Audio,BT In-Ear Headphone,Entry Level,Beats,Universal,Universal,,APPLE CANADA,900-00244-01,8.48447E+11,CAD,$99.99,$99.99
NAUD1048,JBL CLIP SPEAKER RED,JBL CLIP HAUT PARLEUR ROUGE,ND,04 - Audio,Bluetooth Speaker,Entry Level,JBL,Universal,Universal,,JAM INDUSTRIES LTD,JBLCLIPREDAM,50036322485,CAD,$29.99,$29.99
NAUD1049,JBL CLIP SPEAKER BLUE,JBL CLIP HAUT PARLEUR BLEU,ND,04 - Audio,Bluetooth Speaker,Entry Level,JBL,Universal,Universal,Blue,JAM INDUSTRIES LTD,JBLCLIPBLUAM,50036322478,CAD,$29.99,$29.99
NAUD1050,BEATS URBEATS BLACK,BEATS URBEATS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Black,APPLE CANADA,MH7H2AM/A,8.48447E+11,CAD,$99.99,$99.99
NAUD1051,BEATS URBEATS SILVER,BEATS URBEATS ARGENT,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Silver,APPLE CANADA,MHAR2AM/A,8.48447E+11,CAD,$99.99,$39.99
NAUD1052,BEATS URBEATS BLUE,BEATS URBEATS BLEU,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Blue,APPLE CANADA,MH9Q2AM/A,8.48447E+11,CAD,$99.99,$99.99
NAUD1053,BEATS URBEATS PINK,BEATS URBEATS ROSE,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Pink,APPLE CANADA,MH9U2AM/A,8.48447E+11,CAD,$99.99,$39.99
NAUD1054,BEATS SOLO HD 2 BLACK,BEATS SOLO HD 2 NOIR,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,MH8W2AM/A,8.48447E+11,CAD,$219.99,$219.99
NAUD1055,BEATS SOLO HD 2 WHITE,BEATS SOLO HD 2 BLANC,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,White,APPLE CANADA,MH8X2AM/A,8.48447E+11,CAD,$219.99,$219.99
NAUD1056,BEATS SOLO HD 2 BLUE,BEATS SOLO HD 2 BLEU,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Blue,APPLE CANADA,MHBJ2AM/A,8.48447E+11,CAD,$219.99,$219.99
NAUD1057,BEATS SOLO HD 2 RED,BEATS SOLO HD 2 ROUGE,ND,04 - Audio,BT On-Ear Headphone,Mid-tier,Beats,Universal,Universal,Red,APPLE CANADA,MH8Y2AM/A,8.48447E+11,CAD,$219.99,$219.99
NAUD1058,BEATS STUDIO 2 BLACK,BEATS STUDIO 2 NOIR,ND,04 - Audio,BT On-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MH792AM/A,8.48447E+11,CAD,$329.99,$149.99
NAUD1059,BEATS STUDIO 2 RED,BEATS STUDIO 2 ROUGE,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Red,APPLE CANADA,MH7V2AM/A,8.48447E+11,CAD,$329.99,$149.99
NAUD1060,BEATS PILL 2 BLACK,BEATS PILL 2 NOIR,ND,04 - Audio,Bluetooth Speaker,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MH812AM/A,8.48447E+11,CAD,$219.99,$164.99
NAUD1061,BEATS PILL 2 SILVER,BEATS PILL 2 ARGENT,ND,04 - Audio,Bluetooth Speaker,Premium,Beats,Universal,Universal,Silver,APPLE CANADA,MH9L2AM/A,8.48447E+11,CAD,$219.99,$164.99
NAUD1062,BEATS POWERBEATS 2 WIRELESS BLACK ,BEATS POWERBEATS 2 SANS FIL NOIR,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Beats,Universal,Universal,Black,APPLE CANADA,MHBE2AM/A,8.48447E+11,CAD,$219.99,$99.99
NAUD1063,BEATS POWERBEATS 2 WIRELESS WHITE,BEATS POWERBEATS 2 SANS FIL BLANC,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Beats,Universal,Universal,White,APPLE CANADA,MHBG2AM/A,8.48447E+11,CAD,$219.99,$99.99
NAUD1064,BEATS STUDIO WIRELESS MATTE BLACK,BEATS STUDIO WIRELESS MATTE NOIR,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MHAJ2AM/A,8.48447E+11,CAD,$399.99,$399.99
NAUD1065,BEATS STUDIO WIRELESS TITANIUM,BEATS STUDIO WIRELESS TITANIUM,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Titanium,APPLE CANADA,MHAK2AM/A,8.48447E+11,CAD,$399.99,$399.99
NAUD1066,JBL CHARGE 2 BLACK,JBL CHARGE 2 NOIR,ND,04 - Audio,Bluetooth Speaker,Premium,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,CHARGEIIBLKAM,50036321365,CAD,$189.99,$59.99
NAUD1067,JBL CHARGE 2 RED,JBL CHARGE 2 ROUGE,ND,04 - Audio,Bluetooth Speaker,Premium,JBL,Universal,Universal,Red,JAM INDUSTRIES LTD,CHARGEIIREDAM,50036321389,CAD,$189.99,$59.99
NAUD1068,JBL SYNCHROS E10 BLACK,JBL SYNCHROS E10 NOIR,ND,04 - Audio,Wired Headphone,In-Ear,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,E10BLK,50036321785,CAD,$49.99,$9.99
NAUD1069,JBL SYNCHROS E10 WHITE,JBL SYNCHROS E10 BLANC,ND,04 - Audio,Wired Headphone,In-Ear,JBL,Universal,Universal,White,JAM INDUSTRIES LTD,E10WHT,50036321792,CAD,$49.99,$9.99
NAUD1070,JBL SYNCHROS E30 BLACK,JBL SYNCHROS E30 NOIR,ND,04 - Audio,BT On-Ear Headphone,Entry Level,JBL,Universal,Universal,Black,JAM INDUSTRIES LTD,E30BLK,50036321884,CAD,$99.99,$39.99
NAUD1071,JBL SYNCHROS E30 WHITE,JBL SYNCHROS E30 BLANC,ND,04 - Audio,BT On-Ear Headphone,Entry Level,JBL,Universal,Universal,White,JAM INDUSTRIES LTD,E30WHT,50036321891,CAD,$99.99,$39.99
NAUD1072,MIPOW PLAYBULB SILVER,MIPOW PLAYBULB ARGENT,ND,04 - Audio,Bluetooth Speaker,Entry Level,MiPow,Universal,Universal,Silver,CESIUM TELCOM INC,115-1285,8.86367E+11,CAD,$79.99,$9.99
NAUD1073,JBL FLIP 2 SPEAKER WHITE,JBL FLIP 2 HAUT PARLEUR BLANC,ND,04 - Audio,Bluetooth Speaker,Mid-tier,JBL,Universal,Universal,White,JAM INDUSTRIES LTD,JBLFLIPIIWHTAM,50036318037,CAD,$129.99,$39.99
NAUD1074,JBL FLIP 2 SPEAKER BLUE,JBL FLIP 2 HAUT PARLEUR BLEU,ND,04 - Audio,Bluetooth Speaker,Mid-tier,JBL,Universal,Universal,Blue,JAM INDUSTRIES LTD,JBLFLIPIIBLUAM,50036318051,CAD,$64.99,$39.99
NAUD1075,BEATS PILL 2 0 RED,BEATS PILL 2 0 ROUGE,ND,04 - Audio,Bluetooth Speaker,Premium,Beats,Universal,Universal,Red,APPLE CANADA,MH832AM/A,8.48447E+11,CAD,$219.99,$164.99
NAUD1076,BEATS STUDIO WIRELESS MATTE BLACK,BEATS STUDIO WIRELESS MATTE NOIR,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MHAJ2AM/A,8.48447E+11,CAD,$399.99,$399.99
NAUD1076CSD,BEATS STUDIO WIRELESS MATTE BLACK DEMO,BEATS STUDIO WIRELESS MATTE NOIR DEMO,ND,04 - Audio,BT Over-Ear Headphone,Premium,Beats,Universal,Universal,Black,APPLE CANADA,MHAJ2AM/A,,CAD, - , - 
NAUD1077,BEATS URBEATS GOLD,BEATS URBEATS OR,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Gold,APPLE CANADA,MHAQ2AM/A,8.48447E+11,CAD,$99.99,$99.99
NAUD1078,BEATS URBEATS SPACE GREY,BEATS URBEATS GRIGE,ND,04 - Audio,Wired Headphone,In-Ear,Beats,Universal,Universal,Grey,APPLE CANADA,MHAT2AM/A,8.48447E+11,CAD,$99.99,$99.99
NAUD1079,LG TONE PRO BT HEADSET BLACK,LG TONE PRO BT HEADSET NOIR,ND,04 - Audio,BT In-Ear Headphone,Entry Level,LG,Universal,Universal,Black,LG ELECTRONICS CANADA INC,HBS-750.ACCABK,6.52811E+11,CAD,$79.99,$43.99
NAUD1080,LG TONE PRO BT HEADSET WHITE,LG TONE PRO BT HEADSET BLANC,ND,04 - Audio,BT In-Ear Headphone,Entry Level,LG,Universal,Universal,White,LG ELECTRONICS CANADA INC,HBS-750.ACCAWH,6.52811E+11,CAD,$79.99,$43.99
NAUD1081,THUMP EARBUDS BLACK,THUMP ÉCOUTEURS NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,Black,TOMAURI INC,THU-40010,8.87626E+11,CAD,$17.99,$8.99
NAUD1082,THUMP EARBUDS WHITE,THUMP ÉCOUTEURS BLANC,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,White,TOMAURI INC,THU-40020,8.87626E+11,CAD,$17.99,$8.99
NAUD1083,THUMP EARBUDS RED,THUMP ÉCOUTEURS ROUGE,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,Red,TOMAURI INC,THU-40030,8.87626E+11,CAD,$17.99,$8.99
NAUD1084,THUMP EARBUDS BLUE,THUMP ÉCOUTEURS BLEU,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,Blue,TOMAURI INC,THU-40040,8.87626E+11,CAD,$17.99,$8.99
NAUD1085,THUMP EARPHONES AND MIC BLACK,THUMP ÉCOUTEURS ET MICROPHONE NOIR,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,Black,TOMAURI INC,THU-50010,8.87626E+11,CAD,$27.99,$27.99
NAUD1086,THUMP EARPHONES AND MIC WHITE,THUMP ÉCOUTEURS ET MICROPHONE BLANC,ND,04 - Audio,Wired Headphone,In-Ear,Tomauri,Universal,Universal,White,TOMAURI INC,THU-50020,8.87626E+11,CAD,$27.99,$27.99
NAUD1087,JABRA SPORT PULSE BT STEREO HDST,JABRA SPORT PULSE BT STEREO HDST,ND,04 - Audio,BT In-Ear Headphone,Mid-tier,Jabra,Universal,Universal,,SALMON CAPITAL CORPORATION,100-96100000-20,6.15822E+11,CAD,$239.99,$239.99
