SKU,SAP PRODUCT DESC EN,SAP PRODUCT DESC FR,SKU STATUS,CATEGORY,SUB CATEGORY,CLASS,BRAND,DEVICE OEM,DEVICE,COLOUR,VENDOR,PART NUMBER,UPC,CURRENCY,ORIGINAL MSRP,CURRENT MSRP
NCRA1041,TWELVE SOUTH HIRISE IOS STAND SILVER,DOUZE IOS HIRISE SUD TIENNENT ARGENT,ND,07 - Other,Mounts & Stands,Mounts & Stands,Twelve South,Apple,Apple,Silver,ATLANTIA HOLDING INC,TS-12-1307,8.51522E+11,CAD,$39.99,$39.99
NCRA1041C,TWLVESOUTH HIRISE STND IPHONEIPAD SLVER,DOUZE IOS HIRISE SUD TIENNENT ARGENT,ND,07 - Other,Mounts & Stands,Mounts & Stands,Twelve South,Apple,Apple,Silver,ATLANTIA HOLDING INC,TS-12-1307B,8.1137E+11,CAD,$39.99,$39.99
NCRA1042,TWELVE SOUTH HIRISE IOS STAND BLACK,DOUZE IOS HIRISE SUD STAND BLACK,ND,07 - Other,Mounts & Stands,Mounts & Stands,Twelve South,Apple,Apple,Black,ATLANTIA HOLDING INC,TS-12-1404,8.1137E+11,CAD,$39.99,$39.99
NCRA1043,TWELVE SOUTH HIRISE DELUXE STAND GOLD,TENIR TWELVE SOUTH HIRISE DELUXE OR,ND,07 - Other,Mounts & Stands,Mounts & Stands,Twelve South,Apple,Apple,Gold,ATLANTIA HOLDING INC,TS-12-1436,8.1137E+11,CAD,$69.97,$69.99
NCRA1044,TWELVE SOUTH HIRISE DELUXE STAND SILVER,TWELVE SOUTH HIRISE DELUXE SE ARGENT,ND,07 - Other,Mounts & Stands,Mounts & Stands,Twelve South,Apple,Apple,Silver,ATLANTIA HOLDING INC,TS-12-1421,8.1137E+11,CAD,$69.97,$69.99
NCRA1045,FELIX SMALLHANDS STAND FOR PHONE BLACK,FELIX SMALLHANDS TENIR POUR PHONE NOIR,ND,07 - Other,Mounts & Stands,Mounts & Stands,Felix,Apple,Apple,Black,ATLANTIA HOLDING INC,27102B,7.13757E+11,CAD,$19.99,$19.99
NCRA1046,FELIX TWOHANDS STAND FOR TABLET BLACK,FELIX TWOHANDS TENIR POUR TABLETTE NOIR,ND,07 - Other,Mounts & Stands,Mounts & Stands,Felix,Apple,Apple,Black,ATLANTIA HOLDING INC,FE-27103B,8.1086E+11,CAD,$24.99,$24.99
NCRA1047,FELIX TWOHANDS STAND FOR TABLET PINK,FELIX TWOHANDS SUPPORT TABLETTE ROSE,ND,07 - Other,Mounts & Stands,Mounts & Stands,Felix,Apple,Apple,Pink,ATLANTIA HOLDING INC,27103P,8.1086E+11,CAD,$24.99,$24.99
NCRA1048,FELIX TWOHANDS STAND FOR TABLET BLUE,FELIX TWOHANDS TENIR BLEU DE LA TABLETTE,ND,07 - Other,Mounts & Stands,Mounts & Stands,Felix,Apple,Apple,Blue ,ATLANTIA HOLDING INC,FE-27103U,8.1086E+11,CAD,$24.99,$24.99
NCRA1050,JUST MOBILE DELUXE HEADPHONE STAND,JUST MOBILE DELUXE HEADPHONE STAND,ND,07 - Other,Mounts & Stands,Mounts & Stands,Just Mobile,Universal,Universal,,,HS-100,8.85E+11,CAD,$39.99,$39.99
NCRA1051,BOSIGN KTCHN TBLETSTND IPAD/TABLETS BLCK,Bosign Cuisine support iPad/Tablet Noir,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,Black,BOSIGN,262901,6.29018E+11,CAD,$19.99,$19.99
NCRA1051B,BOSIGN TBLETSTND IPAD/TABLETS BLCK BULK,Bosign support iPad/Tablet Noir bulk,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,n/a,BOSIGN,262901,,CAD,$19.99,$19.99
NCRA1052,BOSIGN KTCHN TBLETSTND IPAD/TABLETS GREY,Bosign Cuisine support iPad/Tablet Gris,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,Grey,BOSIGN,262960,6.29018E+11,CAD,$19.99,$19.99
NCRA1052B,BOSIGN TBLETSTND IPAD/TABLETS GREY BULK,Bosign support iPad/Tablet Gris bulk,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,n/a,BOSIGN,262960,,CAD,$19.99,$19.99
NCRA1053,BOSIGN KTCHN TBLETSTND IPAD/TABLETS RED,Bosign Cuisine support iPad/Tablet Rouge,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,Red,BOSIGN,262918,6.29018E+11,CAD,$19.99,$19.99
NCRA1053B,BOSIGN TBLETSTND IPAD/TABLETS RED BULK,Bosign support iPad/Tablet Rouge bulk,ND,07 - Other,Mounts & Stands,Mounts & Stands,Bosign,Universal,Universal,n/a,BOSIGN,262918,,CAD,$19.99,$19.99
NCRA1054,Libratel Magnetic Vent Car Mount,Libratel Support Magnetique Auto Air,ZD,07 - Other,Mounts & Stands,Mounts & Stands,LBT,Universal,Universal,Black,LIBRATEL,MAGVNT,6.29E+11,CAD,$24.99,$29.99
